Title,Intervention,Health condition
Acetylcysteine and carbocysteine for acute upper and lower respiratory tract infections in paediatric patients without chronic broncho-pulmonary disease,Mucolytic,URTI
Acetylcysteine and carbocysteine for acute upper and lower respiratory tract infections in paediatric patients without chronic broncho-pulmonary disease,Mucolytic,LRTI
Advising patients to increase fluid intake for treating acute respiratory infections,Fluid therapy,ARI
Antibiotic prophylaxis to reduce respiratory tract infections and mortality in adults receiving intensive care,Antibiotic,ARI
Antibiotics for preventing suppurative complications from undifferentiated acute respiratory infections in children under five years of age,Antibiotic,ARI
Delayed antibiotics for respiratory infections,Antibiotic,ARI
Exercise for acute respiratory infections,Exercise,ARI
Homeopathic remedies for preventing and treating acute respiratory tract infections in children,CAM,ARI
Immunostimulants for preventing respiratory tract infection in children,Immunostimulant,ARI
Pelargonium sidoides extract for treating acute respiratory tract infections,CAM,ARI
Physical interventions to interrupt or reduce the spread of respiratory viruses,Infection control,ARI
Positioning for acute respiratory distress in hospitalised infants and children,Positioning,Respiratory distress
Procalcitonin to initiate or discontinue antibiotics in acute respiratory tract infections,Procalcitonin,ARI
'Remediating buildings damaged by dampness and mould for preventing or reducing respiratory tract symptoms, infections and asthma',Remediating buildings,ARI
Antibiotics for bronchiolitis in children,Antibiotic,Bronchiolitis
Bronchodilators for bronchiolitis,Bronchodilator,Bronchiolitis
Chest physiotherapy for acute bronchiolitis in paediatric patients between 0 and 24 months old,Physiotherapy,Bronchiolitis
Continuous positive airway pressure (CPAP) for acute bronchiolitis in children,CPAP,Bronchiolitis
Epinephrine for bronchiolitis,Adrenaline,Bronchiolitis
Glucocorticoids for acute viral bronchiolitis in infants and young children,Corticosteroids,Bronchiolitis
Heliox inhalation therapy for bronchiolitis in infants,Heliox,Bronchiolitis
High-flow nasal cannula therapy for infants with bronchiolitis,Oxygen therapy,Bronchiolitis
'
Leukotriene inhibitors for bronchiolitis in infants and young children',LTRA,Bronchiolitis
Macrolides for diffuse panbronchiolitis,Antibiotic,Bronchiolitis
Nebulised deoxyribonuclease for viral bronchiolitis in children younger than 24 months,Deoxyribonuclease,Bronchiolitis
Nebulised hypertonic saline solution for acute bronchiolitis in infants,Saline,Bronchiolitis
Steam inhalation or humidified oxygen for acute bronchiolitis in children up to three years of age,Steam therapy,Bronchiolitis
Surfactant therapy for bronchiolitis in critically ill infants,Surfactant,Bronchiolitis
Antibiotics for acute bronchitis,Antibiotic,Bronchitis
Beta2-agonists for acute bronchitis,Bronchodilator,Bronchitis
Chinese medicinal herbs for acute bronchitis,CAM,Bronchitis
Haemophilus influenzae oral vaccination for preventing acute exacerbations of chronic bronchitis and chronic obstructive pulmonary disease,Vaccination,Bronchitis
Antibiotics for community-acquired lower respiratory tract infections secondary to Mycoplasma pneumoniae in children,Antibiotic,CAP
Antibiotics for community-acquired pneumonia in adult outpatients,Antibiotic,CAP
Antibiotics for community-acquired pneumonia in children,Antibiotic,CAP
Empiric antibiotic coverage of atypical pathogens for community-acquired pneumonia in hospitalized adults,Antibiotic,CAP
Short-course versus long-course antibiotic therapy for non-severe community-acquired pneumonia in children aged 2 months to 59 months,Antibiotic,CAP
Short-course versus long-course intravenous therapy of the same antibiotic for severe community-acquired pneumonia in children aged two months to 59 months,Antibiotic,CAP
Short-course versus long-course therapy of the same antibiotic for community-acquired pneumonia in adolescent and adult outpatients,Antibiotic,CAP
Acetaminophen (paracetamol) for the common cold in adults,Paracetamol,Common cold
Antibiotics for clinically diagnosed acute rhinosinusitis in adults,Antibiotic,Common cold
Antibiotics for the common cold and acute purulent rhinitis,Antibiotic,Common cold
Antihistamines for the common cold,Antihistamine,Common cold
Chinese medicinal herbs for the common cold,CAM,Common cold
Corticosteroids for the common cold,Corticosteroids,Common cold
Echinacea for preventing and treating the common cold,CAM,Common cold
Garlic for the common cold,CAM,Common cold
'Heated, humidified air for the common cold',Humidification,Common cold
Intranasal ipratropium bromide for the common cold,Anticholinergics,Common cold
Nasal decongestants for the common cold,Decongestant,Common cold
Non-steroidal anti-inflammatory drugs for the common cold,NSAID,Common cold
Oral antihistamine-decongestant-analgesic combinations for the common cold,Antihistamine,Common cold
Vaccines for the common cold,Vaccination,Common cold
Vitamin C for preventing and treating the common cold,Vitamin C,Common cold
Zinc for the common cold,Zinc,Common cold
Honey for acute cough in children,CAM,Cough
Over-the-counter (OTC) medications for acute cough in children and adults in ambulatory settings,Antitussive,Cough
Over-the-counter (OTC) medications for acute cough in children and adults in ambulatory settings,Expectorant,Cough
Over-the-counter (OTC) medications for acute cough in children and adults in ambulatory settings,Decongestant,Cough
Over-the-counter (OTC) medications for acute cough in children and adults in ambulatory settings,Bronchodilator,Cough
Over-the-counter (OTC) medications for acute cough in children and adults in ambulatory settings,Antishitamine,Cough
Over-the-counter (OTC) medications to reduce cough as an adjunct to antibiotics for acute pneumonia in children and adults,Antitussive,Cough
Over-the-counter (OTC) medications to reduce cough as an adjunct to antibiotics for acute pneumonia in children and adults,Expectorant,Cough
Symptomatic treatment of the cough in whooping cough,Symptomatic treatment,Cough
Glucocorticoids for croup,Corticosteroids,Croup
Heliox for croup in children,Helium-oxygen,Croup
Nebulized epinephrine for croup in children,Adrenaline,Croup
'Combined DTP-HBV vaccine versus separately administered DTP and HBV vaccines for primary prevention of diphtheria, tetanus, pertussis, and hepatitis B',Vaccination,Diptheria
'Combined DTP-HBV vaccine versus separately administered DTP and HBV vaccines for primary prevention of diphtheria, tetanus, pertussis, and hepatitis B',Vaccination,Tetanus
'Combined DTP-HBV vaccine versus separately administered DTP and HBV vaccines for primary prevention of diphtheria, tetanus, pertussis, and hepatitis B',Vaccination,Pertussis
'Combined DTP-HBV vaccine versus separately administered DTP and HBV vaccines for primary prevention of diphtheria, tetanus, pertussis, and hepatitis B',Vaccination,HBV
'Combined DTP-HBV-HIB vaccine versus separately administered DTP-HBV and HIB vaccines for primary prevention of diphtheria, tetanus, pertussis, hepatitis B and Haemophilus influenzae B (HIB)',Vaccination,Diptheria
'Combined DTP-HBV-HIB vaccine versus separately administered DTP-HBV and HIB vaccines for primary prevention of diphtheria, tetanus, pertussis, hepatitis B and Haemophilus influenzae B (HIB)',Vaccination,Tetanus
'Combined DTP-HBV-HIB vaccine versus separately administered DTP-HBV and HIB vaccines for primary prevention of diphtheria, tetanus, pertussis, hepatitis B and Haemophilus influenzae B (HIB)',Vaccination,Pertussis
'Combined DTP-HBV-HIB vaccine versus separately administered DTP-HBV and HIB vaccines for primary prevention of diphtheria, tetanus, pertussis, hepatitis B and Haemophilus influenzae B (HIB)',Vaccination,HBV
'Combined DTP-HBV-HIB vaccine versus separately administered DTP-HBV and HIB vaccines for primary prevention of diphtheria, tetanus, pertussis, hepatitis B and Haemophilus influenzae B (HIB)',Vaccination,HiB
Surgical versus non-surgical management for pleural empyema,Surgery,Empyema
Surgical versus non-surgical management for pleural empyema,Debridement,Empyema
Surgical versus non-surgical management for pleural empyema,Fibrinolytic,Empyema
Surgical versus non-surgical management for pleural empyema,Thoracoscopy,Empyema
Surgical versus non-surgical management for pleural empyema,Thoracotomy,Empyema
Surgical versus non-surgical management for pleural empyema,Antibiotic,Empyema
Surgical versus non-surgical management for pleural empyema,aspiration,Empyema
Surgical versus non-surgical management for pleural empyema,pleural drainage,Empyema
Surgical versus non-surgical management for pleural empyema,thoracostomy,Empyema
Short-course versus prolonged-course antibiotic therapy for hospital-acquired pneumonia in critically ill adults,Antibiotic,HAP
Vaccines for preventing herpes zoster in older adults,Vaccination,Herpes zoster
Steroids for symptom control in infectious mononucleosis,Corticosteroids,IM
Amantadine and rimantadine for influenza A in adults,Antiviral,Influenza
Amantadine and rimantadine for influenza A in children and the elderly,Antiviral,Influenza
Chinese medicinal herbs for influenza,CAM,Influenza
Conjugate vaccines for preventing Haemophilus influenzae type b infections in children under 5 years of age,Vaccination,Influenza
Corticosteroids as adjunctive therapy in the treatment of influenza,Corticosteroids,Influenza
Homeopathic OscillococcinumÂ¨ for preventing and treating influenza and influenza-like illness,CAM,Influenza
Neuraminidase inhibitors for preventing and treating influenza in children (published trials only),Antiviral,Influenza
Neuraminidase inhibitors for preventing and treating influenza in healthy adults and children,Antiviral,Influenza
Statins for influenza and pneumonia,Statins,Influenza
Vaccines for preventing influenza in healthy adults,Vaccination,Influenza
Vaccines for preventing influenza in healthy children,Vaccination,Influenza
Vaccines for preventing influenza in the elderly,Vaccination,Influenza
Antibiotics for acute laryngitis in adults,Antibiotic,Pharyngitis
Azithromycin for acute lower respiratory tract infections,Antibiotic,LRTI
Chest radiographs for acute lower respiratory tract infections,Radiography,LRTI
Oxygen therapy for lower respiratory tract infections in children between 3 months and 15 years of age,Oxygen therapy,LRTI
Vitamin A for preventing acute lower respiratory tract infections in children up to seven years of age,Vitamin A,LRTI
Antibiotics for preventing complications in children with measles,Antibiotic,Measles
Chinese medicinal herbs for measles,CAM,Measles
Post-exposure passive immunisation for preventing measles,Vaccination,Measles
Routine vitamin A supplementation for the prevention of blindness due to measles infection in children,Vitamin A,Measles
'Vaccines for measles, mumps and rubella in children',Vaccination,Measles
Vitamin A for treating measles in children,Vitamin A,Measles
Antibiotic prophylaxis for preventing meningitis in patients with basilar skull fractures,Antibiotic,Meningitis
Corticosteroids for acute bacterial meningitis,Corticosteroids,Meningitis
Corticosteroids for parasitic eosinophilic meningitis,Corticosteroids,Meningitis
Fluid therapy for acute bacterial meningitis,Fluid therapy,Meningitis
Osmotic therapies added to antibiotics for acute bacterial meningitis,Glycerol,Meningitis
Polysaccharide vaccines for preventing serogroup A meningococcal meningitis,Vaccination,Meningitis
Third generation cephalosporins versus conventional antibiotics for treating acute bacterial meningitis,Antibiotic vs. antibiotic,Meningitis
Antibiotics for preventing meningococcal infections,Antibiotic,Meningococcal
Anti-cytokine and anti-endotoxin therapies for meningococcal disease,Anticytokine,Meningococcal
Pre-admission antibiotics for suspected cases of meningococcal disease,Antibiotics,Meningococcal
Acupuncture for mumps in children,Acupuncture,Mumps
Chinese medicinal herbs for mumps,CAM,Mumps
Antibiotics for acute otitis media in children,Antibiotic,OM
Antibiotics for the prevention of acute and chronic suppurative otitis media in children,Antibiotic,OM
Influenza vaccines for preventing acute otitis media in infants and children,Vaccination,OM
Once or twice daily versus three times daily amoxicillin with or without clavulanate for the treatment of acute otitis media,Antibiotic,OM
Pneumococcal conjugate vaccines for preventing otitis media,Vaccination,OM
Short-course antibiotics for acute otitis media,Antibiotic,OM
Topical analgesia for acute otitis media,Analgesia,OM
Xylitol for preventing acute otitis media in children up to 12 years of age,Xylitol,OM
Zinc supplements for preventing otitis media,Zinc,OM
Acellular vaccines for preventing whooping cough in children,Vaccination,Pertussis
Antibiotics for whooping cough (pertussis),Antibiotic,Pertussis
Vaccination in pregnancy to prevent pertussis in early infancy,Vaccination,Pertussis
Antibiotics for sore throat,Antibiotics,Pharyngitis
Chinese medicinal herbs for sore throat,CAM,Pharyngitis
Corticosteroids as standalone or add-on treatment for sore throat,Corticosteroids,Pharyngitis
Different antibiotic treatments for group A streptococcal pharyngitis,Antibiotic,Pharyngitis
Short-term late-generation antibiotics versus longer term penicillin for acute streptococcal pharyngitis in children,Antibiotic,Pharyngitis
Pneumococcal conjugate vaccines for preventing vaccine-type invasive pneumococcal disease and X-ray defined pneumonia in children less than two years of age,Vaccination,Pneumococcal
Vaccines for preventing pneumococcal infection in adults,Vaccination,Pneumococcal
Antibiotic therapy versus no antibiotic therapy for children aged two to 59 months with WHO-defined non-severe pneumonia and wheeze,Antibiotic,Pneumonia
Chest physiotherapy for pneumonia in adults,Physiotherapy,Pneumonia
Chest physiotherapy for pneumonia in children,Physiotherapy,Pneumonia
Corticosteroids for pneumonia,Corticosteroids,Pneumonia
Granulocyte-Colony Stimulating Factor (G-CSF) as an adjunct to antibiotics in the treatment of pneumonia in adults,Immunostimulant,Pneumonia
Oral antibiotics versus parenteral antibiotics for severe pneumonia in children,Antibiotics,Pneumonia
Oxygen therapy for pneumonia in adults,Oxygen therapy,Pneumonia
Vitamin A for non-measles pneumonia in children,Vitamin A,Pneumonia
Vitamin C for preventing and treating pneumonia,Vitamin C,Pneumonia
Zinc supplementation as an adjunct to antibiotics in the treatment of pneumonia in children 2 to 59 months of age,Zinc,Pneumonia
Zinc supplementation for the prevention of pneumonia in children aged 2 months to 59 months,Zinc,Pneumonia
Continuous negative extrathoracic pressure or continuous positive airway pressure compared to conventional ventilation for acute hypoxaemic respiratory failure in children,CPAP,Respiratory failure
Immunoglobulin treatment for respiratory syncytial virus infection,Immunoglobulin,RSV
Monoclonal antibody for reducing the risk of respiratory syncytial virus infection in children,MAB,RSV
Post-exposure passive immunisation for preventing rubella and congenital rubella syndrome,Vaccination,Rubella
Chinese herbs combined with Western medicine for severe acute respiratory syndrome (SARS),CAM,SARS
Antibiotics for acute maxillary sinusitis in adults,Antibiotics,Sinusitis
'Decongestants, antihistamines and nasal irrigation for acute sinusitis in children',Decongestants,Sinusitis
'Decongestants, antihistamines and nasal irrigation for acute sinusitis in children',Antihistamines,Sinusitis
'Decongestants, antihistamines and nasal irrigation for acute sinusitis in children',Nasal irrigation,Sinusitis
Intranasal steroids for acute sinusitis,Corticosteroids,Sinusitis
Systemic corticosteroids for acute sinusitis,Corticosteroids,Sinusitis
Probiotics for preventing acute upper respiratory tract infections,Probiotic,URTI
Saline nasal irrigation for acute upper respiratory tract infections,Nasal Irrigation,URTI
Antibiotics for ventilator-associated pneumonia,Antibiotics,VAP
Probiotics for preventing ventilator-associated pneumonia,Probiotic,VAP
Semi-recumbent position versus supine position for the prevention of ventilator-associated pneumonia in adults requiring mechanical ventilation,Positioning,VAP
Acyclovir for treating varicella in otherwise healthy children and adolescents,Antiviral,Varicella zoster
Antiviral prophylaxis for varicella zoster in immunocompromised patients (excluding haematological malignancies),Antiviral,Varicella zoster
Vaccines for post-exposure prophylaxis against varicella (chickenpox) in children and adults,Vaccination,Varicella zoster
